Bike_Name,Manufacturer,Model,Ex_Showroom_Price_Lakh,On_Road_Price_Est_Lakh,Insurance_Annual_Est,EMI_2000_Down_36m,Price_Score,Insurance_Score,Displacement_CC,Power_PS,Torque_Nm,Mileage_KMPL,Power_to_Weight_Ratio,Displacement_Score,Power_Score,Torque_Score,Mileage_Score,Power_to_Weight_Score,Engine_Configuration,Cooling_System,Transmission,Number_of_Gears,Engine_Config_Score,Cooling_Score,Transmission_Score,Braking_System,ABS_Score,Seat_Height_MM,Kerb_Weight_KG,Seat_Height_Score,Weight_Score,Fuel_Tank_Capacity_L,Theoretical_Range_KM,Fuel_Tank_Score,Range_Score,Brand_Reputation_Score,Service_Network_Score,Spare_Parts_Score,Overall_Weighted_Score,Value_for_Money
KTM 160 Duke,KTM,160 Duke,1.85,2.22,3280,1736.0,9,6,160.0,15.6,14.1,36.5,106.12,2,1,2,9,10,Single,Liquid-cooled,5-speed,5,6,9,6,Single-channel ABS,6,818,147.0,8,5,13.5,493.0,8,9,8,8,8,7.1,2.67
KTM 200 Duke,KTM,200 Duke,2.08,2.5,3600,1952.0,8,6,200.0,25.8,19.5,35.0,162.26,3,3,3,8,10,Single,Liquid-cooled,6-speed,6,6,9,7,Single-channel ABS,6,830,159.0,8,4,13.5,472.0,8,9,8,8,8,7.06,3.12
KTM 250 Duke,KTM,250 Duke,2.3,2.76,3990,2159.0,8,6,248.8,30.0,24.0,30.08,181.82,3,3,4,7,10,Single,Liquid-cooled,6-speed,6,6,9,7,Single-channel ABS,6,830,165.0,8,4,13.4,403.0,8,8,8,8,8,6.86,3.0
KTM 390 Duke,KTM,390 Duke,2.97,3.56,4986,2788.0,7,5,373.3,44.0,37.0,28.9,263.47,5,5,6,7,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,830,167.0,8,4,13.4,387.0,8,7,8,8,8,7.18,4.29
KTM RC 390,KTM,RC 390,3.23,3.88,4986,3032.0,6,5,373.3,44.0,37.0,25.89,255.81,5,5,6,6,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,823,172.0,8,4,13.7,355.0,8,7,8,8,8,6.94,4.83
KTM 390 Adventure,KTM,390 Adventure,3.35,4.02,4986,3144.0,6,5,373.3,44.0,37.0,20.0,248.59,5,5,6,5,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,855,177.0,3,3,14.5,290.0,8,5,8,8,8,6.2,4.67
Kawasaki Ninja 650,Kawasaki,Ninja 650,7.16,8.59,7192,6720.0,1,2,649.0,67.0,64.0,21.0,341.84,9,8,10,5,10,Twin,Liquid-cooled,6-speed,6,8,9,7,Dual-channel ABS,10,790,196.0,10,3,15.0,315.0,9,6,9,6,6,6.54,32.0
Kawasaki Z650,Kawasaki,Z650,6.65,7.98,7192,6242.0,1,2,649.0,67.0,64.0,22.0,362.16,9,8,10,5,10,Twin,Liquid-cooled,6-speed,6,8,9,7,Dual-channel ABS,10,790,185.0,10,3,15.0,330.0,9,6,9,6,6,6.54,32.0
Kawasaki Z650RS,Kawasaki,Z650RS,6.99,8.39,7192,6561.0,1,2,649.0,67.0,64.0,20.0,362.16,9,8,10,5,10,Twin,Liquid-cooled,6-speed,6,8,9,7,Dual-channel ABS,10,800,185.0,10,3,12.7,254.0,7,5,9,6,6,6.46,32.0
Kawasaki Versys 650,Kawasaki,Versys 650,7.77,9.32,7192,7293.0,1,2,649.0,67.0,64.0,20.0,310.19,9,8,10,5,10,Twin,Liquid-cooled,6-speed,6,8,9,7,Dual-channel ABS,10,840,216.0,6,2,21.0,420.0,10,8,9,6,6,6.32,32.0
Kawasaki Vulcan S,Kawasaki,Vulcan S,7.1,8.52,7192,6664.0,1,2,649.0,60.0,62.4,22.0,262.01,9,7,10,5,10,Twin,Liquid-cooled,6-speed,6,8,9,7,Dual-channel ABS,10,705,229.0,6,1,18.0,396.0,10,7,9,6,6,6.08,31.0
Royal Enfield Hunter 350,Royal Enfield,Hunter 350,1.66,1.99,4792,1558.0,9,5,349.0,20.2,27.0,36.2,111.6,5,2,4,9,10,Single,Air-cooled,6-speed,6,6,5,7,Dual-channel ABS,10,790,181.0,10,3,13.2,478.0,7,9,9,10,10,7.66,3.33
Royal Enfield Classic 350,Royal Enfield,Classic 350,2.16,2.59,4792,2027.0,8,5,349.0,20.2,27.0,41.55,103.59,5,2,4,10,10,Single,Air-cooled,5-speed,5,6,5,6,Dual-channel ABS,10,805,195.0,8,3,13.8,573.0,8,10,9,10,10,7.52,3.88
Royal Enfield Bullet 350,Royal Enfield,Bullet 350,1.98,2.37,4792,1854.0,9,5,349.0,20.2,27.0,37.0,103.59,5,2,4,9,10,Single,Air-cooled,5-speed,5,6,5,6,Dual-channel ABS,10,805,195.0,8,3,13.5,500.0,8,10,9,10,10,7.52,3.33
Royal Enfield Meteor 350,Royal Enfield,Meteor 350,2.21,2.65,4792,2070.0,8,5,349.0,20.2,27.0,41.88,105.76,5,2,4,10,10,Single,Air-cooled,5-speed,5,6,5,6,Dual-channel ABS,10,765,191.0,10,3,15.0,628.0,9,10,9,10,10,7.68,3.88
Royal Enfield Scram 440,Royal Enfield,Scram 440,2.08,2.5,5520,1952.0,8,4,440.0,24.0,32.0,35.0,129.73,6,3,5,8,10,Single,Air-oil cooled,6-speed,6,6,7,7,Dual-channel ABS,10,795,185.0,10,3,15.0,525.0,9,10,9,10,10,7.72,3.75
Royal Enfield Guerrilla 450,Royal Enfield,Guerrilla 450,2.39,2.87,5616,2243.0,8,4,452.0,40.0,40.0,27.0,217.39,6,5,6,6,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,780,184.0,10,3,11.0,297.0,6,5,9,10,10,7.4,3.75
Royal Enfield Himalayan 450,Royal Enfield,Himalayan 450,2.85,3.42,5616,2675.0,7,4,452.0,40.0,40.0,27.3,204.08,6,5,6,6,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,825,196.0,8,3,17.0,464.0,10,9,9,10,10,7.44,4.29
Royal Enfield Interceptor 650,Royal Enfield,Interceptor 650,3.1,3.72,7184,2910.0,6,2,648.0,47.0,52.0,25.0,232.67,9,5,8,6,10,Twin,Air-oil cooled,6-speed,6,8,7,7,Dual-channel ABS,10,804,202.0,8,2,13.7,342.0,8,6,9,10,10,7.02,5.0
Royal Enfield Continental GT 650,Royal Enfield,Continental GT 650,3.39,4.07,7184,3182.0,6,2,648.0,47.0,52.0,27.0,237.37,9,5,8,6,10,Twin,Air-oil cooled,6-speed,6,8,7,7,Dual-channel ABS,10,804,198.0,8,3,12.5,338.0,7,6,9,10,10,7.08,5.0
Royal Enfield Super Meteor 650,Royal Enfield,Super Meteor 650,3.72,4.46,7184,3492.0,5,2,648.0,47.0,52.0,22.0,195.02,9,5,8,5,10,Twin,Air-oil cooled,6-speed,6,8,7,7,Dual-channel ABS,10,740,241.0,8,1,15.7,345.0,9,6,9,10,10,6.72,5.8
Royal Enfield Shotgun 650,Royal Enfield,Shotgun 650,3.67,4.4,7184,3445.0,5,2,648.0,46.4,52.3,22.0,193.33,9,5,8,5,10,Twin,Air-oil cooled,6-speed,6,8,7,7,Dual-channel ABS,10,795,240.0,10,1,13.8,304.0,8,6,9,10,10,6.88,5.8
Royal Enfield Classic 650,Royal Enfield,Classic 650,3.44,4.12,7184,3224.0,6,2,648.0,46.4,52.3,24.0,190.95,9,5,8,6,10,Twin,Air-oil cooled,6-speed,6,8,7,7,Dual-channel ABS,10,800,243.0,10,1,14.7,353.0,8,7,9,10,10,7.2,5.0
Royal Enfield Bear 650,Royal Enfield,Bear 650,3.46,4.15,7184,3248.0,6,2,648.0,46.4,52.3,22.5,192.53,9,5,8,5,10,Twin,Air-oil cooled,6-speed,6,8,7,7,Dual-channel ABS,10,825,241.0,8,1,17.5,394.0,10,7,9,10,10,6.92,4.83
Triumph Speed 400,Triumph,Speed 400,2.51,3.01,5184,2356.0,7,4,398.0,40.0,37.5,32.0,235.29,6,5,6,8,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,790,170.0,10,4,13.0,416.0,7,8,8,5,5,7.24,4.43
Triumph Scrambler 400X,Triumph,Scrambler 400X,2.66,3.19,5184,2497.0,7,4,398.0,40.0,37.5,30.0,223.46,6,5,6,7,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,835,179.0,6,3,13.0,390.0,7,7,8,5,5,6.66,4.29
Triumph Scrambler 400XC,Triumph,Scrambler 400XC,2.85,3.42,5184,2675.0,7,4,398.0,40.0,37.5,28.0,223.46,6,5,6,7,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,835,179.0,6,3,13.0,364.0,7,7,8,5,5,6.66,4.29
Triumph Trident 660,Triumph,Trident 660,8.25,9.9,7280,7743.0,1,2,660.0,81.0,64.0,28.0,428.57,10,10,10,7,10,Triple,Liquid-cooled,6-speed,6,10,9,7,Dual-channel ABS,10,805,189.0,8,3,14.0,392.0,8,7,8,5,5,6.84,35.0
Yamaha MT-03,Yamaha,MT-03,3.5,4.2,4568,3285.0,6,5,321.0,42.0,29.6,26.31,251.5,4,5,4,6,10,Twin,Liquid-cooled,6-speed,6,8,9,7,Dual-channel ABS,10,780,167.0,10,4,14.0,368.0,8,7,9,8,8,7.3,5.0
Yamaha R3,Yamaha,R3,3.6,4.32,4568,3379.0,5,5,321.0,42.0,29.6,24.0,248.52,4,5,4,6,10,Twin,Liquid-cooled,6-speed,6,8,9,7,Dual-channel ABS,10,780,169.0,10,4,14.0,336.0,8,6,9,8,8,7.1,6.0
